Ref Name,Qty,Component,Value,Package,Manufacturer,MPN,Description
J2,1,2WP,,DSC,,,2 way Pin Header
J4,1,4WP,,DSC,,,4 way Pin Header
J3,1,4WP,,DSC,,,4 way Pin Header
PL1,1,26WDP,,DSC,,,Dual 13w Pin Header
C29,1,0603YC104KATDA,10uF,SM0603,AVX,,"Capacitor, Surface Mount Multi-Layer Ceramic"
C1,1,0603YC104KATDA,10uF,SM0603,AVX,,"Capacitor, Surface Mount Multi-Layer Ceramic"
C8,1,0603YC104KATDA,10uF,SM0603,AVX,,"Capacitor, Surface Mount Multi-Layer Ceramic"
C25,1,0603YC104KATDA,10uF,SM0603,AVX,,"Capacitor, Surface Mount Multi-Layer Ceramic"
C31,1,06033G104ZATDA,10uF,SM0603,AVX,,"Capacitor, Surface Mount Multi-Layer Ceramic"
C33,1,06033G104ZATDA,10uF,SM0603,AVX,,"Capacitor, Surface Mount Multi-Layer Ceramic"
X1,1,ABRACON_XTAL,8MHz,SM,,,CRYSTAL
U6,1,ADS1299,,TQFP-64,,,
A1,1,ANSI D,,MISC,,,
B1,1,BATT,,SM,,,JST BATTERY CONNECTOR
C5,1,C,.1uF,EIA_0402,,,Capacitor
C24,1,C,.1uF,EIA_0402,,,Capacitor
C12,1,C,.1uF,EIA_0402,,,Capacitor
C13,1,C,.1uF,EIA_0402,,,Capacitor
C28,1,C,.1uF,EIA_0402,,,Capacitor
C10,1,C,.1uF,EIA_0402,,,Capacitor
C15,1,C,0.1uF,EIA_0402,,,Capacitor
C30,1,C,0.01uF,EIA_0402,,,Capacitor
C16,1,C,1nF,EIA_0402,,,Capacitor
C19,1,C,1uF,EIA_0402,,,Capacitor
C21,1,C,1uF,EIA_0402,,,Capacitor
C18,1,C,1uF,EIA_0402,,,Capacitor
C6,1,C,1uF,EIA_0402,,,Capacitor
C7,1,C,1uF,EIA_0402,,,Capacitor
C22,1,C,1uF,EIA_0402,,,Capacitor
C14,1,C,1uF,EIA_0402,,,Capacitor
C17,1,C,1uF,EIA_0402,,,Capacitor
C27,1,C,1uF,EIA_0402,,,Capacitor
C32,1,C,2.2uF,EIA_0402,,,Capacitor
C36,1,C,2.2uF,EIA_0402,,,Capacitor
C40,1,C,2.2uF,EIA_0402,,,Capacitor
C39,1,C,2.2uF,EIA_0402,,,Capacitor
C35,1,C,2.2uF,EIA_0402,,,Capacitor
C38,1,C,2.2uF,EIA_0402,,,Capacitor
C23,1,C,18pF,402,,,Capacitor
C20,1,C,18pF,402,,,Capacitor
C37,1,C 10uF,10uF,C0603,,,Capacitor
C2,1,C 100uF,100uF,1206,,,Capacitor
C4,1,C 100uF,100uF,1206,,,Capacitor
R4,1,CAY16-F4 R-ARRAY,2.2K,SM,,,
R6,1,CAY16-F4 R-ARRAY,2.2K,SM,,,
R2,1,CAY16-F4 R-ARRAY,2.2K,SM,,,
R3,1,CAY16-F4 R-ARRAY,2.2K,SM,,,
R1,1,CAY16-F4 R-ARRAY,2.2K,SM,,,
C9,1,CKCL44X7R1H102M085AA,,SMT,,,4 CAP ARRAY
C11,1,CKCL44X7R1H102M085AA,,SMT,,,4 CAP ARRAY
C26,1,CKCL44X7R1H102M085AA,,SMT,,,4 CAP ARRAY
C34,1,CKCL44X7R1H102M085AA,,SMT,,,4 CAP ARRAY
C3,1,CKCL44X7R1H102M085AA,,SMT,,,4 CAP ARRAY
SW2,1,CUS-3B SP3T SLIDE SWITCH,,SM,,,CUS-3B SP3T SLIDE SWITCH
D8,1,DI0603,,SM,,,
D9,1,DI0603,,SM,,,
D1,1,DI0603,BLUE LED,SM,,,
REF5,1,GND,,,,,Power
REF6,1,GND,,,,,Power
REF7,1,GND,,,,,Power
REF48,1,GND,,,,,Power
REF73,1,GND,,,,,Power
REF84,1,GND,,,,,Power
REF79,1,GND,,,,,Power
REF80,1,GND,,,,,Power
REF81,1,GND,,,,,Power
REF94,1,GND,,,,,Power
REF162,1,GND,,,,,Power
REF51,1,GND,,,,,Power
REF85,1,GND,,,,,Power
REF102,1,GND,,,,,Power
REF103,1,GND,,,,,Power
REF104,1,GND,,,,,Power
REF105,1,GND,,,,,Power
REF107,1,GND,,,,,Power
REF113,1,GND,,,,,Power
REF114,1,GND,,,,,Power
REF117,1,GND,,,,,Power
REF148,1,GND,,,,,Power
REF149,1,GND,,,,,Power
U1,1,LIS3DHTR ACCELEROMETER,,LGA,,,ST accelerometer LIS3DHTR
U3,1,LM2664,,SOT-23-6,,,
U5,1,LP5907,,SM,,,
U7,1,PIC32MX250F128B,,SSOP,,,ChipKIT PIC32
J1,1,PINHEAD-8,,SIP,,,"0.1"" pitch header row"
D6,1,Quad TVS TPD4E1B06,,SM,,,TI QUAD TVS
D5,1,Quad TVS TPD4E1B06,,SM,,,TI QUAD TVS
D3,1,Quad TVS TPD4E1B06,,SM,,,TI QUAD TVS
D4,1,Quad TVS TPD4E1B06,,SM,,,TI QUAD TVS
D2,1,Quad TVS TPD4E1B06,,SM,,,TI QUAD TVS
D7,1,Quad TVS TPD4E1B06,,SM,,,TI QUAD TVS
R8,1,R,1K,402,,,Resistor
R5,1,R,1M,402,,,Resistor
R10,1,R,220K,402,,,Resistor
R11,1,R,330K,402,,,Resistor
R7,1,R,470K,402,,,Resistor
R9,1,R,470K,402,,,Resistor
BLE1,1,RFD22301,,SM,,,BTLE Module
CONN1,1,SEEEDmicroSD,,MISC,,,SEEED microSD card slot
U2,1,SN74LVC1G32DCKR OR_GATE,,SM,,,
SW3,1,SW_TACT,,PTS810 TACT SWITCH,,,
SW1,1,SW_TACT,,PTS810 TACT SWITCH,,,
U4,1,TLV700xx LDO REG,,SOT23-5,,,
REF17,1,TO,,,,,Arrow R
REF19,1,TO,,,,,Arrow R
REF22,1,TO,,,,,Arrow R
REF23,1,TO,,,,,Arrow R
REF26,1,TO,,,,,Arrow R
REF27,1,TO,,,,,Arrow R
REF28,1,TO,,,,,Arrow R
REF29,1,TO,,,,,Arrow R
REF30,1,TO,,,,,Arrow R
REF31,1,TO,,,,,Arrow R
REF32,1,TO,,,,,Arrow R
REF33,1,TO,,,,,Arrow R
REF34,1,TO,,,,,Arrow R
REF35,1,TO,,,,,Arrow R
REF36,1,TO,,,,,Arrow R
REF37,1,TO,,,,,Arrow R
REF38,1,TO,,,,,Arrow R
REF39,1,TO,,,,,Arrow R
REF40,1,TO,,,,,Arrow R
REF41,1,TO,,,,,Arrow R
REF42,1,TO,,,,,Arrow R
REF43,1,TO,,,,,Arrow R
REF47,1,TO,,,,,Arrow R
REF72,1,TO,,,,,Arrow R
REF74,1,TO,,,,,Arrow R
REF75,1,TO,,,,,Arrow R
REF90,1,TO,,,,,Arrow R
REF91,1,TO,,,,,Arrow R
REF46,1,TO,,,,,Arrow R
REF83,1,TO,,,,,Arrow R
REF183,1,TO,,,,,Arrow R
REF184,1,TO,,,,,Arrow R
REF163,1,TO,,,,,Arrow R
REF164,1,TO,,,,,Arrow R
REF165,1,TO,,,,,Arrow R
REF166,1,TO,,,,,Arrow R
REF167,1,TO,,,,,Arrow R
REF189,1,TO,,,,,Arrow R
REF53,1,TO,,,,,Arrow R
REF68,1,TO,,,,,Arrow R
REF49,1,TO,,,,,Arrow R
REF70,1,TO,,,,,Arrow R
REF71,1,TO,,,,,Arrow R
REF77,1,TO,,,,,Arrow R
REF86,1,TO,,,,,Arrow R
REF87,1,TO,,,,,Arrow R
REF88,1,TO,,,,,Arrow R
